City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,vila velha,-20.3297,-40.2925,19.97,98,75,1.54,BR,1690068899
251,port lincoln,-34.7333,135.8667,12.89,65,54,5.6,AU,1690069131
252,pamanukan,-6.2842,107.8106,23.63,75,55,2.59,ID,1690069132
253,qoryooley,1.7878,44.53,23.7,86,97,5.61,SO,1690069133
254,malmesbury,-33.4608,18.7271,10.42,73,95,1.16,ZA,1690069134
255,nagornyy,52.7959,83.5498,15.27,91,100,4.5,RU,1690069134
256,duba,27.3513,35.6901,31.2,49,98,0.11,SA,1690069135
257,colonel hill,22.7667,-74.2167,27.92,75,81,4.03,BS,1690069136
258,bac kan,22.1333,105.8333,26.9,89,89,0.83,VN,1690069136
259,misratah,32.3754,15.0925,29.16,62,0,2.69,LY,1690069137
260,vorgashor,67.5833,63.95,16.47,95,100,1.28,RU,1690069137
261,vuktyl,63.8567,57.3094,12.76,96,30,2.05,RU,1690069138
262,ciudad madero,22.2667,-97.8333,32.11,70,40,5.14,MX,1690069138
263,pacific grove,36.6177,-121.9166,29.1,84,0,4.12,US,1690069139
264,inhambane,-23.865,35.3833,17.59,83,0,2.04,MZ,1690069140
265,bayganin,48.6947,55.8742,23.09,47,99,2.81,KZ,1690069140
266,nova sintra,14.8667,-24.7167,23.0,76,20,7.74,CV,1690069141
267,ulanhot,46.0833,122.0833,17.51,97,100,9.0,CN,1690069142
268,antsohihy,-14.8796,47.9875,21.41,61,2,3.63,MG,1690069143
269,mgandu,-5.95,34.1333,14.82,66,4,2.92,TZ,1690069143
270,atafu village,-8.5421,-172.5159,28.47,71,6,3.55,TK,1690069144
271,yangjiang,21.85,111.9667,27.05,83,11,1.14,CN,1690069132
272,kumylzhenskaya,49.8809,42.5898,17.77,56,100,1.4,RU,1690069145
273,katsuura,35.1333,140.3,25.34,73,56,3.17,JP,1690069146
274,seaside,36.6111,-121.8516,22.82,84,0,4.12,US,1690069146
275,las tablas,7.7667,-80.2833,22.94,91,94,4.01,PA,1690069146
276,pangody,65.85,74.4859,18.27,85,87,3.52,RU,1690069147
277,kyenjojo,0.6328,30.6214,17.64,60,94,1.43,UG,1690069148
278,bubaque,11.2833,-15.8333,27.17,81,38,6.64,GW,1690069148
279,beshariq,40.4358,70.6103,27.87,25,3,2.31,UZ,1690069149
280,camana,-16.6228,-72.7111,17.11,85,70,3.55,PE,1690069149
281,nelson,-41.2833,173.2833,10.16,79,100,2.12,NZ,1690069105
282,axim,4.8699,-2.2405,24.39,88,100,4.51,GH,1690069150
283,teknaf,20.8624,92.3058,26.8,91,94,3.52,BD,1690069151
284,bamboo flat,11.7,92.7167,24.05,88,100,6.17,IN,1690069151
285,morden,49.1919,-98.1014,26.92,44,25,2.06,CA,1690069019
286,vernon,50.2581,-119.2691,36.07,17,29,1.54,CA,1690068978
287,batie,9.8833,-2.9167,23.13,93,98,1.2,BF,1690069153
288,cimitarra,6.3142,-73.9497,27.14,78,84,1.26,CO,1690069154
289,wum,6.3833,10.0667,18.18,99,98,0.39,CM,1690069156
290,kingston,17.997,-76.7936,30.69,75,20,9.77,JM,1690069157
291,yeppoon,-23.1333,150.7333,17.88,61,0,4.29,AU,1690069157
292,kerikeri,-35.2268,173.9474,13.84,80,21,1.79,NZ,1690069158
293,silver city,32.7701,-108.2803,32.98,35,0,4.02,US,1690069159
294,watampone,-4.5386,120.3279,25.51,84,81,3.46,ID,1690069159
295,filey,54.21,-0.2892,15.99,93,100,0.45,GB,1690069160
296,machico,32.7,-16.7667,23.89,80,40,4.63,PT,1690069161
297,hastings,50.8552,0.5729,16.86,49,100,12.13,GB,1690069161
298,tazacorte,28.629,-17.9293,23.54,82,100,8.75,ES,1690069162
299,strezhevoy,60.7333,77.5889,17.29,78,99,2.17,RU,1690069162
300,alofi,-19.0595,-169.9187,26.94,74,25,4.12,NU,1690069163
301,sorong,-0.8833,131.25,26.84,83,93,5.82,ID,1690069164
302,nellore,14.4333,79.9667,27.19,73,100,6.29,IN,1690069084
303,constitucion,-35.3333,-72.4167,10.34,86,36,1.59,CL,1690068957
